id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG43169,Philippa,"Molesworth, Mrs.",1839,1921,['en'],8,"{'Cousins -- Juvenile fiction', 'Household employees -- Juvenile fiction', 'Sick -- Juvenile fiction', 'Social status -- Juvenile fiction', 'Dogs -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Sisters -- Juvenile fiction', 'Courtship -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction'}",Text
PG43170,Prentice Hugh,"Peard, Frances Mary",1835,1923,['en'],2,"{'Motherless families -- Juvenile fiction', 'Apprentices -- Juvenile fiction', 'Stonemasons -- Juvenile fiction', 'Kings and rulers -- Juvenile fiction', 'Cathedrals -- Juvenile fiction', 'Bishops -- Juvenile fiction'}",Text
PG43171,"Antonio Canova (1757-1822), e l'arte de' suoi tempi: La vita italiana durante la Rivoluzione francese e l'Impero","Venturi, Adolfo",1856,1941,['it'],11,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'France -- History -- 1789-1815', 'Italy -- Social conditions'}",Text
PG43172,La delinquenza nella Rivoluzione francese: La vita italiana durante la Rivoluzione francese e l'Impero,"Lombroso, Cesare",1835,1909,['it'],17,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'France -- History -- 1789-1815', 'Italy -- Social conditions'}",Text
PG43173,"Donne, salotti e costumi: La vita italiana durante la Rivoluzione francese e l'Impero","Martini, Ferdinando",1841,1928,['it'],10,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'Italy -- Social conditions', 'France -- History -- 1789-1815'}",Text
PG43174,Il Regno d'Etruria: La vita italiana durante la Rivoluzione francese e l'Impero,"Vogüé, Eugène-Melchior, vicomte de",1848,1910,['it'],9,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'France -- History -- 1789-1815', 'Italy -- Social conditions'}",Text
PG43175,Ugo Foscolo (1778-1827): La vita italiana durante la Rivoluzione francese e l'Impero,"Chiarini, Giuseppe",1833,1908,['it'],10,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'France -- History -- 1789-1815', 'Italy -- Social conditions'}",Text
PG43176,I Francesi in Italia (1796-1815): La vita italiana durante la Rivoluzione francese e l'Impero,"Fiorini, Vittorio",1860,1925,['it'],7,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'Italy -- Social conditions', 'France -- History -- 1789-1815'}",Text
PG43177,The Protection of Fresh-Water Mussels,"Coker, R. E. (Robert Ervin)",1876,1967,['en'],2,"{'Fishery law and legislation -- United States', 'Freshwater mussels'}",Text
PG43178,Giacomo Leopardi (1798-1837): La vita italiana durante la Rivoluzione francese e l'Impero,"Pascoli, Giovanni",1855,1912,['it'],24,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'France -- History -- 1789-1815', 'Italy -- Social conditions'}",Text
